,mean_abs_shap,correlation,mutual_info
qual*total_house_area,31517.155742114064,0.8409569764548567,0.9016581949263314
Neighborhood,7527.90683706669,0.7355621277097324,0.5117623401835085
LotArea,3144.561521749743,0.24023641995493214,0.14927465543588037
Garage_final,2978.907827726417,0.7368357876692246,0.48988125752627365
BsmtUnitsGrade,2897.32183137237,0.44978090278651117,0.24202526936085444
YearRemodAdd,2669.8102538364556,0.5126380153186004,0.2547948843079806
OverallCond,2131.4827457896404,-0.07726194497112074,0.11214183391228527
KitchenQual,2011.2520383547399,0.6637441615972881,0.32486427806567186
YearBuilt,1929.6609586989723,0.5173892258545342,0.35040154892168696
GrLivArea,1858.586829256415,0.6962371645915164,0.46406368818374943
bathrooms_final,1808.1911322303329,0.6244081455280104,0.3571601487394682
semi_built_area,1395.6926356265103,0.4374075316387148,0.1316909343877426
rooms_to_size,1336.9393269323539,0.5141630368883168,0.34207048080780744
total_house_area,1300.7948114475485,0.7602123713775889,0.659133503581693
2ndFlrSF,1172.088731338621,0.3248673551188794,0.1797990489560517
BsmtUnfSF,1141.5440956072068,0.20039133006035795,0.12754429318901783
BsmtFinSF1,953.4011021060514,0.36365790622675964,0.17221182691709203
TotalBsmtSF,812.4307710173088,0.5917317573693681,0.36158137954268454
land_score,802.8136040314862,0.38584230921437984,0.1541733216214789
GarageArea,785.2514257547911,0.6201592057152231,0.34661735276566397
Fireplaces,712.7096444883019,0.4630361737880807,0.15779537306772262
BsmtExposure,680.0182036511752,0.37000496940273536,0.06997452042432317
BsmtGrade,663.0896721042441,0.7260560363246822,0.5711837554553942
Id,631.765486627352,-0.014245233934177827,0.01406302673686266
OpenPorchSF,566.9110280112999,0.3302933092927411,0.14324329724902807
BsmtFinType1,546.2353588307158,0.29170215217284123,0.14185358649669633
LotFrontage,532.0776818049369,0.34335991935694665,0.2089778456318272
MoSold,512.4761615852874,0.06106562058498037,0.0
house_to_bsmt_ratio,494.89858061113506,-0.11515799921958336,0.06446239249000785
1stFlrSF,482.37242697148,0.5911253275461021,0.3063819086693238
ExterQual,433.64916823513596,0.6751744692427827,0.33671432639808385
GarageYrBlt,399.5509551892135,0.4709656524139567,0.23786955463242831
Functional,395.05854168570954,0.10942593593071889,0.00910304700898279
BsmtQual,376.29357302196223,0.5952993582788695,0.33761357596446495
TotRmsAbvGrd,367.5689177305712,0.5171173679275605,0.19011753699349843
ScreenPorch,355.96854525164855,0.1086846419706361,0.013043621007694073
WoodDeckSF,348.9217245672171,0.31644425185723246,0.13060474591763027
MSZoning_RL,344.6604036566574,0.24367806714635848,0.0462441011382011
GarageCars,339.87377655488785,0.6353526627020065,0.35308010249729205
FireplaceQu,294.62253590080644,0.5236120075533982,0.2001110664981549
LotConfig_FR2,257.01550851958905,-0.017313754113630217,0.0014947673116005866
CentralAir,241.00450183298156,0.24985586243630092,0.06628042336392848
EnclosedPorch,240.65208808401354,-0.12152868694963262,0.0249048435270387
OverallQual,237.48434922677288,0.7896290894075266,0.5562337063605338
MasVnrArea,226.09184544407344,0.45829125155339256,0.08157309740990248
FullBath,213.80421588627095,0.5697621069084966,0.2662399727261313
GarageFinish,207.93907028495855,0.5401104184190126,0.2766916376895805
Foundation_PConc,194.0803491531496,0.49315952841881916,0.1594850610063301
elec_inf,176.4464914909116,0.46441305031358193,0.23270800970294925
GarageType_Modified_Attchd,145.52905718753178,0.32059619205391143,0.13356804930275068
YrSold,142.43067563622824,-0.03795236074873722,0.004457420126422473
GarageCond,140.91014927825694,0.2505508830932627,0.0859070281320895
HeatingQC,140.85272563731445,0.42898779063710996,0.1500676511610235
BsmtFinType2,129.76727868594807,0.010419558297354657,0.038813885825414784
MasVnrType_BrkFace,123.65706160173718,0.18977809310141183,0.034911668674611596
HalfBath,122.94372424398343,0.26388644052478116,0.07829150869328494
LotConfig_CulDSac,115.00821135096858,0.14267770580600686,0.024653762768018117
BsmtFinSF2,109.66864804776007,0.012782965707080067,0.007403070709215864
BedroomAbvGr,101.62836946602758,0.16468036994155935,0.05640243524822752
Exterior1st_BrkFace,97.40544689621476,0.03423887452460697,0.0
HouseStyle_1.5Fin,93.549478015491,-0.15817020244072455,0.022380837760751282
BsmtFullBath,91.81859652469772,0.20430492899244493,0.03279562309589701
GarageQual,85.67037034774425,0.2635405946101866,0.08651860174488668
Exterior1st_HdBoard,76.13861449812373,-0.11095862770436318,0.02411636753815416
Foundation_BrkTil,66.48570533036708,-0.21040340447450176,0.03820268542076488
MasVnrType_Stone,64.2240279456579,0.3307937503563937,0.03882614623833791
Exterior2nd_VinylSd,61.65120731423138,0.29934588261708456,0.09111660870277394
BldgType_1Fam,61.47968938652227,0.13752097120786894,0.024442176204330535
LandSlope,59.83536842705659,-0.04252585286275243,0.0055228712569423966
Exterior1st_Plywood,59.46258676215192,-0.021077177952296553,0.0033735015720077755
LotConfig_Corner,58.0135698586097,-0.018258531120930167,7.580337076285026e-05
Exterior1st_MetalSd,51.69865521290841,-0.1551181511960457,0.02378934152083101
Exterior1st_VinylSd,47.527337645336154,0.2998084427325463,0.08896438637928084
ExterCond,47.36418452683684,0.015941949963169735,0.014502141392250145
Exterior2nd_HdBoard,45.28730125515316,-0.07520352764830487,0.012524463681170994
Fence,42.99899320397326,-0.13449508871893479,0.03576455001204559
LandContour,42.756263824834974,-0.06337380870463313,0.02122476955140007
MSZoning_C (all),41.56739887870746,-0.1110207114634826,0.016296166024459602
HouseStyle_SLvl,39.204339163653536,-0.03832696321768573,0.002655448679673489
MSZoning_FV,37.5071329484452,0.08246070840453987,0.029138581048929968
Exterior2nd_MetalSd,35.19548446330051,-0.15247623209547834,0.0331493537987011
BldgType_Duplex,34.09643288402736,-0.1167129690925878,0.017463991636386345
LotShape,33.61243431464347,-0.2663500442114533,0.08167995069856304
Exterior1st_Wd Sdng,32.576168848224896,-0.15303305692688476,0.019237583516757084
BsmtCond,27.880413283605144,0.19388424004490407,0.04438522509251697
RoofStyle_Hip,25.684037443655644,0.2276140724566392,0.011774905293809868
RoofStyle_Gable,25.623967147283754,-0.2166335154237798,0.0014936594829741967
GarageType_Modified_Detchd,24.086728160634422,-0.3497973573346089,0.10597297496197688
MSZoning_RM,23.606027946072075,-0.2876494534436846,0.0680271215963999
Story_Count,21.267815447337433,0.07380765008828308,0.03726176055259245
LotConfig_Inside,19.740560249791386,-0.05730348987934259,0.0
BsmtHalfBath,18.625964706693214,0.003266843020069422,0.0016977335099572777
3SsnPorch,18.044955180503734,0.020283115750738615,0.005955639657301726
LowQualFinSF,17.827008049188013,-0.026656691215339926,0.004991787605300946
Exterior2nd_Plywood,17.185709803340167,-0.05987649777878284,0.008664929056261483
MasVnrType_BrkCmn,13.43013278698883,-0.05174855426368027,0.002309856022376655
HouseStyle_1Story,11.275084139328087,-0.06701366964574448,0.0
Exterior2nd_Wd Sdng,10.890170596693066,-0.16548640936316775,0.022816308027898913
MasVnrType_None,10.73193301815997,-0.360863671318114,0.06913796073063927
GarageType_Modified_Other,10.723239392278902,-0.05799830535017811,0.0
Exterior2nd_BrkFace,9.92454029078352,0.032760912901218533,0.000908161152365139
MiscVal,9.54471135099765,-0.02240871608801879,0.002358178534590971
BldgType_TwnhsE,9.457686571103222,0.008905362513317179,0.0
PavedDrive,8.093774220322711,0.200842783671631,0.029528171835506933
Exterior1st_CemntBd,8.015501001036322,0.13895341722355714,0.011317559291092127
GarageType_Modified_BuiltIn,7.8489075058289846,0.23704585763745623,0.028791313989694034
Exterior1st_Other,5.743263340500528,-0.02105994413970806,0.0
Foundation_CBlock,5.737396089088642,-0.34948916189713314,0.10522614406036257
Age_Category,4.242838902834746,0.33846068275825103,0.07242972813409598
GarageType_Modified_2Types,4.048995166339286,-0.010883123513013529,0.0
MSZoning_RH,3.8077615976007015,-0.0614709366470955,0.0
Electrical,3.5874015421491694,0.21866881010224495,0.05577599319851645
HouseStyle_2Story,3.4396286345324323,0.24427201999964418,0.03949130798998968
Exterior1st_WdShing,2.920133861580921,-0.0646251421610821,0.0037935924833565338
Exterior2nd_Wd Shng,2.7087337562237987,-0.0755750696299098,0.0
RoofStyle_Other,2.2133635537203866,-0.006339929930523212,0.0
BldgType_Twnhs,1.3814817360676328,-0.09271819238464354,0.006823124740282349
LotConfig_FR3,1.3354685200730416,0.03364907006267762,0.0
PUD_Flag,1.277617763619718,-0.02596146807076721,0.0039014983768648204
Exterior2nd_Stucco,0.6529694298685413,-0.01812786795416796,0.006065614983706169
Foundation_Slab,0.19829543388869672,-0.098722114941716,0.020555172524010734
Exterior2nd_CmentBd,0.0,0.1505825558434451,0.015768771664032455
Exterior2nd_AsbShng,0.0,-0.10180645797413908,0.007115730781264373
Exterior1st_Stucco,0.0,-0.009227028954886014,0.0
Exterior1st_AsbShng,0.0,-0.11461012390120452,0.00761506748764873
HouseStyle_SFoyer,0.0,-0.09059464536535485,0.016026523897856526
Exterior2nd_Other,0.0,0.01396838535325886,0.010947490266662863
Foundation_Other,0.0,-0.001271281611699861,0.0
HouseStyle_2.5Fin,0.0,0.039120026288083004,0.015261665042751282
HouseStyle_1.5Unf,0.0,-0.09217642325138989,0.0016467643552713351
BldgType_2fmCon,0.0,-0.1071963327631371,0.005287198584658759
HouseStyle_2.5Unf,0.0,-0.036666651038852874,0.0
